,phrase
797,"Как бы мастерски вы не умели рассказывать анекдоты, вряд ли стоит это делать на кладбище. "
798,"Чтобы тебя поняли, нельзя говорить непонятно."
799,Сила очарования равна силе разочарования.
800,- Кто ещё мочеполовую не сдал? Достаем писюны. В смысле из ведра
801,"Был человек - была система, нет человека - нет системы #Кузнецов #Анатоми"
802,"Студент: сел отрабатывать мужскую половую систему Машак: что же ты с собой никаких препаратов не принёс? Студент, довольно: все своё с собой)"
803,-Сифилисом можно заразиться с удовольствием и без удовольствия 
804,"-Макрофаги приходят и говорят: «Эй ты, титановая пластинка, я тебя сейчас лизирую нафик»"
805,"-ДТП. Девушка была пристёгнута. У неё ушиб мягкий тканей левой молочной железы, синяк на титьке короче. А мужику вот почку оторвало.."
806,"Студент неправильно читает текст: блуд, пур и температур.. Преподаватель: это что, как sex,drugs and rock&roll? Только блуд, пур и температур? "
807,"Елясин на конференции распределяет грамоты: «У нас есть первое,второе,третье…и компот»  *смех в зале*"
808,"Жизнь сложнее, чем все идеальные модели "
809,"Трипаносомы располагаются в эритроцитах. Там и кислород, и вкусняшка. "
810,"У меня дочь тоже на четвертом курсе, только предатель в семье завёлся - на лечфаке"
811,"Правило трёх «т»-талант,труд,терпение.  Только это приведёт к успеху. "
812,"Студентка садится с работой к  Литвиновой, она читает работу и находит неразборчивое слово на латыни... Л:Что это написанно? С:Ass Л:Что такое ass?Летчик?Или большой специалист в какой-то области? Дикий угар тех, кто понял..."
813,"- ... Понимаете, у него же только название красивое — аллантоис, а на деле это обыкновенный указатель: ""Туалет —  там""."
814,Студент читает текст на английском П:Можно было за первый семестр хотя бы выучить алфавит
815,"Ты че грустная сидишь? Обиделась, что я тебя дебилоидом назвал? Так я ласково"
816,Зашла речь об уринотерапии.
817,Выходит студент с длинными волосами к доске Е.В: Сейчас с тобой поговорим как девочка с девочкой
818,"-Эритроциты — это такие маленькие ослики: навьючиваются кислородом, веществами всякими и перевозят их. "
819,Травин: ангина - это воспаление чего? Студент: молчит* Т:  двухслойная... трехслойная... С: молчит Т: смываемая втулка  С: зева ...?
820,П: Какое окончание в прошедшем времени?  С: -ed  П: Куда?  С: Отсюда  П: Это вы мне? 
821,"Я химию не люблю.  Я знаю только h2o, h2so4 и…h2o Есть же такие? "
822,"Кузнецов рассказывает материал по презентации  - ну здесь анатомия, на анатомии мы останавливаться не будем."
823,Мельников: знаете мою любимую цитату Студенты: нет  Мельников: Широко шагнёшь- п**** порвёшь
824,"Если специя называется куркумой, то по-другому никак."
825,"-Знаете когда заканчивается детство?  -Нет  - Когда мама перестаёт прятать конфеты, а батя начинает прятать коньяк "
826,"Сегодня я спрашиваю парней, отдыхайте, завтра им на кухне готовить будете!  - Пусть мужчины нам готовят на 8 марта!  - Давно доширак не ела что-ли?"
827,"я вас щас зарежю,причем ручкой (читать с клёвым кавказским акцентом)"
828,"У нас тут УНИВЕРСИТЕТ, а не ШАРАШ-МАНТАЖ"
829,"Дорогие студенты , поздравляем вас с 23 февраля! ☺ "
830,"П: всё должно быть идеально! С: а как это ? П:Идеально это тогда,когда 2 "
831,"ну что,ребята,все здесь? Никита,Стас,Гена,Турбо и Дюша Метёлкин?"
832,"- Пал Саныч... - Солнышко, сдала тест? - Нет... - Твою мать, прости за выражение"
833,"""последние две капсулы лоперамида как последние два патрона оставляем для себя"""
834,"Ну что, ЖЕРТВЫ ЕГЭ , кто первый пойдет отвечать?"
835,почему я пришла сюда работать? потому что я живу через дорогу…….
836,"- Университет и институт чем отличаются? В университете дают образование, а в институте — профессию. Поэтому именно я не понимаю, что вообще должно значить ""Университет путей сообщения"". Это же оскорбление для слова ""университет""."
837,Микронаушник по отношению к Вашим знаниям - это Собянин по отношению к троллейбусам - такой же ликвидатор.    #Батончикова_Е_Н #Экологи
838,#Вспомнимлучшее 
839,🎄 С Новым годом 
840,"Студент: «а вы принимать еще будете?»  О.В: -Буду, и валерианку и корвалол и вас."
841,ВАЗ 2106 на 14% лучше чем ничего 
842,Обидчивость - комплекс неполноценности ! 
843,"Пора выполнить ритуал, который помогает студентам.  Репост данного поста поможет вам закрыть долги до нового года"
844,"что учи, что не учи… все равно будут врачи "
845,"П: Случай из практики. Приходит бабка *Студенты начинают смеятся* П: Ну, а как я её назову? Пациентка? Ну ладно. П: Приходит пациентка бабка..."
846,"Дорогие подписчики нашей замечательной группы! Хотим устроить небольшой опрос. Хотите ли вы появления в нашей группе рубрики  ""Цитата студента"""
847,"-Я вот уже вакцинировалась... И теперь остаётся ждать, когда трупы врагов поплывут по реке."
848,"Анатомия это же не мучение, это СЧАСТЬЕ! "
849,"Где я только не училась, бедолага"
850,"Реанимация занимается спасением жизни, диагностика не царское дело"
851,"Как там в книге написано... ""Перестаёт треугольники из спичек складывать"". Вы уж мне поверьте, я уже не молодая, но по утрам треугольнички из спичек не складываю"
852,"-Вуз-это не выйти удачно замуж,а высшее учебное заведение. Так что, иди дальше учить -А я и не хочу замуж... -Интересная какая, тогда продолжим"
853,"Овсянко: Если у брюшной полости есть слабые места, то есть и... Студент: И сильные. Овсянко: Укреплённые. А вот анатомия явно не ваша сильная сторона."
854,"Педиатрия, тема острые расстройства ЖКТ. Казначеев, заходя в кабинет:"
855,"Экскурсия по операционной  П: «тут у нас корцанги, зажимы кровоостанавливающие Холстеда, Бильрота, Кохера, баночка Махеева, хрен наверное…»"
856,"П: что делают, когда лечат перелом костным вытяжением? С: нуу, если кость трубчатая - вставляют трубки П: а если губчатая, то губки?"
857,"""Пациент как пешеход: всегда прав, но не всегда жив"""
858,"П: Мы можем с вами установить, в каком случае значение этой величины — максимально? С: Нет. П: А что нам помешает? Незнание математики?"
859,"-Если женщина что-то хочет, то ей пофиг на эти аддукторы!"
860,"Много лабораторных работ не сдано у группы. Вроде в четверг обещали прийти, почему не пришёл никто? Или это такой оборот речи был: Ага, мол, жди — после дождичка в четверг?"
861,"-Посмотрела я интервью с мамой Моргенштерна. Потрясающий человек — совершенно не в контакте с реальностью, конечно, — но в качестве педагога состоялась просто как никто другой. "
862,"- Если человек — свинья, то он живёт с установкой ""Я — мир"". Как годовалый ребёнок."
863,Реферат на 10 листов... Тут лист не исписанный... Тут немного... Ах ты шалунишка!
864,"Я хотела вообще не разговаривать, но не разговаривать не получится"
865,Всё выстраивается по правилу: кого люблю тому даю
866,"Мужчины появляются из мальчиков, но кто-то из девочек ну тут свои нюансы"
867,"С:А у нас завтра коллоквиум по анатомии  П:Не первый и не последний  С:Надеемся, что не последний П:Ну потерпите еще пару лет, потом станет легче… наверное… "
868,"-Вы че думаете,мне вас жалко? Жалость для меня-это так…. давно забытое чувство…….. "
869,"Что сейчас нужно девушкам от мужчин? Он должен быть выше меня, он должен быть постарше, и у него должны быть денюжки чтобы купить мне бусики и трусики"
870,- апчхи! - будьте здоровы *хором* - не дождётесь... #Повещенко #АнатомияЦН
871,Каждый врач- творческая личность... ну или не каждый🤔
872,"""Тратить на это время нет необходимости, а вот вы потратьте!"""
873,Студент: *заканчивает рассказывать биографию в докладе*
874,С: А почему так? П: *глубокий вдох* П: Потому что так римляне решили!
875,"-не родилось ещë ни одного человека могущего изменить мир -а как же Путин?  -сходи в церковь, я серьезно"
876,Почему китайцев так много? Потому что пользуются китайскими презервативами!!)
877,"«Желудочки - это пустота, но не пустота... Она чем-то заполнена....»"
878,-самая известная реакция на страх это понос. Но это не значит что вы сейчас должны обосраться!
879,"Гонорея — это болезнь ""доброе утро!"""
880,"-Вот мы не могли как нормальные люди уйти на медосмотр с утра во вторник, я бы выспалась хоть. Ну вы бесполезные существа"
881,"П: Есть у кого-нибудь внутренний эмоциональный интеллект выше межличностного?  С: *поднимают руки* П: Ага, есть такие артисты-ауститы.."
882,"- Что вам непонятно?  - Всё  - ""Всё"" это нехорошее слово. Это маскировка, как маска от вируса "
883,"Ребёнок должен учиться сам принимать решения... Почему мы решили,  что дети — тупые?"
884,"-Александр Викторович, когда можно закрыть двойки? -А? -Долги закрыть когда можно будет? -Ну вот ладошка есть - прикрывайте, не пойму чего хотите от меня."
885,"Студент *сидит над листом с проверочной* Препод: - что ты там сидишь?  С: -думаю П: - думать дома надо было. И пальцами хрустеть тоже. А ты ещё попробуй обувь снять и на ногах похрустеть! Так круче будет, не все смогут"
886,"Мужчина женщин в принципе плохо понимает, а ту, которую любит, — вообще не в зуб ногой. Ну, нет у мужчин навыка телепатии."
887,-Почему так сложно? -Потому что!
888,"- Какашки - единственный продукт, который может произвести ребёнок. Он видит, что из него что-то выпало и думает «я сделяль». "
889,#Вспомнимлучшее
890,"На экзамене вам никто не поможет, только Господь Бог"
891,"На бакалавриате - не бей лежачего, а у вас - и в хвост и в гриву."
892,"-сколько будет 2+1, достаем калькуляторы!  - 3!  - о, считать в уме умеете, да вам в СГУПС надо! "
893,Е.В. - Как называется этот край? Студент *тихо* -параллельный Е.В. - Параллельно идете пока что вы и анатомия.  И ПОКА ВЫ НЕ ПЕРЕСЕКАЕТЕСЬ!
894,Запах мочи медведицы во время брачного периода для медведя самый ништячный феромон
895,Залететь в 21 веке может только полный идиот. Не умеешь - не берись 
896,"Если вы не видели,  как абрикос растет на ветке - это не значит,  что он падает с неба"
897,"Жизнь - штука неприятная, вас здесь никто не ждал. Вы появились только потому, что родители какие-то судорожные движения совершили  #Хлебалин #Философи"
898,Педиатрическое образование - самое лучшее образование для домохозяйки!
899,*Студент оттягивает маску*  Е.В. - Задыхаетесь? Студент - нет... Е.В. - А жаль!
900,"Вы что, ночью спать собираетесь? В вашем возрасте это вообще вредно!"
901,"Представьте, какая ситуация у нас в стране, если плотность нефти на НПЗ измеряют палкой-копалкой."
902,"Существует 2 подхода к определению коэффициентов, я их оба расскажу: один логичный, а один вам понравится  #Кротов #иитмм_ннг"
903,Собаки - это хорошие люди! К ним надо относится с уважением.
904,"Преподаватель принимает коллоквиум. *звук оповещения с телефона* - Мне пришла зарплата, все сдали, я ухожу."
905,"Хорошо, что период полураспада больше одного семестра. "
906,"Сначала написали то что нужно, а потом думать начали. Тут так же нужно. "
907,"Нужно изолировать все провода от животных, иначе кошка кусь за провод и превратится в котлету."
908,"Я знаю, что у вас кипят мозги, но никакого сочувствия я не испытываю."
909,"Когда вы пишете программы, не заходите в тик-ток, это вредно для программы."
910,"Вспоминаем детство, точнее первый семестр..."
911,"Ну что, в честь великого праздника, показать вам фракталы? (Пара на 1ое апреля)"
912,"Нет здоровых людей, есть плохо диагностированные."
913,"Тогда хайпа не было, был эпатаж."
914,"Этот муравей хищный, мы в принципе это и по глазам можем видеть."
915,"Если вам перед семинаром очень хочется спать - надо спать, здоровье должно быть на первом месте."
916,"Мы не на Автозаводе, чтобы кого-то опускать."
917,"Повторение - мать ученья.. ну или заикание, у кого как."
918,- А нам это пригодится в реальной жизни? - Вы теоретические математики. Зачем вам что-то «в реальной жизни»?
919,"Устали? Понимаю. Ну, такая жизнь у вас тяжёлая."
920,Все студенты не вмещаются в аудиторию.
921,"Все сильные электролиты похожи друг на друга, каждый слабый электролит слаб по-своему."
922,Как надо вести себя при падении самолёта? Да всё равно. Он падает.
923,Без слов назовите формулу.
924,"Физики как аборигены - считают один, два, МНОГО. Считаем, что три уже много больше единицы."
925,"Котики появились очень много лет назад, не только недавно. "
926,"Давайте я поставлю вам три с минусом, чтобы вас никогда больше не видеть."
927,"*ведёт онлайн-лекцию в своём кабинете во 2 корпусе* -С потолка капает, но это считается нормальным.  #Фёдоров #химфак_ннг"
928,[студенты приходят с невыполненным дз]
929,"Раз очень хочется - надо спать, здоровье прежде всего."
930,"Да, ребят, интернет - это такая страна, в которой не только улицы, целые города пропадают... У меня вот гугл диск пропал."
931,Микронаушник по отношению к Вашим знаниям - это Собянин по отношению к троллейбусам - такой же ликвидатор.    Е.Н. #Батончиков
932,"Мне ваши листочки с ответами не нужны! Они нужны вам, чтобы донести до меня свою мысль и не расплескать..."
933,Желания ставить двойку у меня нет никакого. Вы всё равно опять придёте ((
934,"Обсуждаем метаморфозы корня.  - Вы вот любите все эти жуткие фильмы ужасов, да? Мне особенно нравится, когда там болото, в нем аллигаторы-людоеды, а сзади… а сзади какие красивые болотные кипарисы!"
935,Как-то вы очень грустно про похороны рассказали. Нельзя ли про них рассказывать поживее?
936,-Какие мышцы относятся к мимическим?  -Все кроме жевательных. Логично. 
937,"Когда вы слышите фразу ""старшее поколение"", представляете старых дряхлых стариков как я, например. Вы думаете, что я зум включить не могу, а вы можете."
938,В юриспруденции от перемены мест меняется очень всё.
939,"Вы должны написать код так, чтобы и дебилу было понятно. Мне вот, например, не понятно."
940,"Мы что-то используем, не зная, как оно работает. Впрочем, для человечества это обычно.   #Балалаева #иббм_ннг"
941,"Мы вообще как тли на теле растений. И не имеем понятия, что они о нас думают."
942,- Политику обсуждают только старики.  До этого что ли не было государства? 
943,"На самом деле, нам всё кажется - всё есть дхармы. Вам кажется, что вы слушаете лекцию Дорофеева, а мне кажется, что я её читаю. Дхарма поменяется и ничего не будет, ни Нижнего Новгорода, ни вас, ни меня. Вот это буддизм, ребята."
944,"Медузы - это половое поколение, их задача быстро отметать половые продукты и всё, кирдык, хана, потрачено"
945,"Будда не сумел объяснить, что такое нирвана, а нижегородские ребята в пособии её схему нарисовали. Наши учёные превзошли Будду."
946,"-Хочу быть кошечкой и говорить ""мяу""... Хотя нет, не хочу, а то вдруг налысо побреют."
947,Что для вирусов является самым главным? Не буду говорить - смыслом жизни. 
948,"Студент: а вы верите в Бога? Религиовед: моя задача прочитать курс так, чтобы вы этого не поняли, если вы угадаете в конце курса, то значит, я плохо его прочитал."
949,- Субкультура также является одним из важнейших элементов в изучении философии. Вы можете стать панком или увлечься исламом. И тогда у вас возникнет потребность: пойти на рок-концерт или в мечеть.
950,- Это генетически заложено: пока молодые - надо выпендриваться.
951,"И как это Вы собрали всех насекомых из сачка так, что они оттуда не разбежались? Это уже Гарри Поттер какой-то..."
952,"Так как динамическое программирование вам зашло меньше, начнём с него. Да, жизнь - боль."
953,А сейчас мы с вами будем знакомиться с газетами. Хотите? Хотя у вас всё равно нет выбора. #кедяркин #ифиж_ннг
954,"*пара в зуме* - Вы можете меня убавить, включить музыку и наслаждаться жизнью... Я не против, но вам экзамен сдавать. "
955,"Если я вам приснюсь, вы не проснётесь."
956,*написав на доске [ш'аст'jь]* - Вот так выглядит счастье.
957,"- Такие сосредоточенные сидите, что я начинаю действительно думать, что вы думаете."
958,"Совсем недавно так не было, а было совсем не так."
959,После таких сокращений можно с факультета сократится.
960,"Вот вы говорите, что можете абсолютно все, но на самом деле вы ничего не можете.  #иббм_ннгу #Широко"
961,Студент: А с какой силой сдавливать грудь у бабочки? Лаврова: 8 Ньютонов!
962,"Идите на кладбище, там тихо, спокойно, бегайте, сколько хотите!"
963,"Когда мы читает авангардистские тексты, кажется, что над нами издеваются. Да, над нами издеваются."
964,Лекция в Zoom:
965,*чекает аватарки студентов в Zoom*
966,"Все бежали от химии, как чёрт от ладана."
967,*смотрит на расписание контрольных и зачетов*
968,"Если бы красный костный мозг функционировал всю жизнь, то мы жили бы при иммунологическом коммунизме."
969,"""Я так вижу, я так чувствую"" - отмазка любого современного графомана."
970,"Жизнь вообще жестокая штука, постоянно у кого-то отрывают электроны. На автозаводе вместе с электронами могут и кое-что другое оторвать... "
971,Уныние - нормальное состояние студента
972,"Книжку легче написать, чем словарь. Поэтому респект лексикографам!"
973,Связочный глагол восполняет свою лексическую ущербность.
974,"*беседа со студентом в зуме, студент отвернулся от камеры*"
975,*устраивает перекличку и отмечает присутствующих*  *больше половины отсутствует*  — Ммм... будут рыдать на зачёте и сдавать его в муках 😊
976,- Как с вами можно связаться? - Через Астрал.
977,"Вы анализируете объект старины. Если вы его разрушите, то у вас не будет объекта старины."
978,"Например, толковый словарь под редакцией Крысина. Крысина - это не подруга, которую вы не любите, а фамилия."
979,"Человек, родившийся на свет - это кричащий кусок мяса."
980,"Ну и что с того, что тут три интеграла разбиваются на 15? Их просто нужно взять и ручками посчитать"
981,"У вас в атласе так витиевато написано, что без стакана не разберешься"
982,"В жизни, согласно геометрическому подходу, каждый раз происходят события вероятности ноль."
983,"Четвёртая хромосома на себя не похожа! На личинку кольчатого червя ещё тянет, но не на четвёртую хромосому..."
984,"П: - Вам, как биологам, надо относиться критически к ошибкам в сфере биологии. С: - Например, когда пауков насекомыми называют? П: - Да это ваще. За это в рожу бить надо."
985,"Если вы вдруг захотите сварить дома тринитротолуол и скажете об этом родным, то у них могут случиться проблемы с сердцем."
986,Самый простейший непредельный виниловый спирт имеет особенность - его не существует.
987,"Альбом без подписей - это все равно, что картинки смотреть. А я и в детстве не любила их смотреть, я любила книжки читать."
988,Этот рисунок не достоин даже черновика.
989,"Ну вот, два сапога - пара. Я - правый сапог, ты - левый. А Никита - босоножка."
990,(на первом занятии) 
991,Сдача ДЗ - это маленькая пятница
992,Кирилла лучше называть Константином.
993,Яйцо сварили - цыпленок уже не вылупится.
994,"Такие сосредоточенные сидите, что я начинаю действительно думать, что вы думаете."
995,Дистанционная лекция получается как обычная. Только никому не надо никуда ходить. Можно даже сидеть пить пиво.
996,"В общем, эту фигню думать не надо! Надо думать другую фигню!"
997,"Вокруг Насть всегда образуются черные дыры, замедляются время и пространство. Там, где Насти, заканчивается мир и начинается хаос."
998,"Есть то, что на первый взгляд кажется бесполезным. Вот мы, например, филологи. "
999,"Мы не можем задавать вопросы, потому что не понимаем что понимаем, а что не понимаем, то заполоняет наш разум и тормозит нас на пути к старту"
1000,Приветствуем первокурсников! и с 1 сентября ждем от вас активного участия! Публикуем Топ - 10 самых популярных цитат за все время существования нашего сообщества.
1001,"Задача для олимпиады второклассников... Или третьеклассников, я не знаю, когда там логарифмы проходят."
1002,"*На экзамен по урматам можно приносить конспект* Ш: Ни в коем случае нельзя чтобы конспект был просто из 19 билетов - это называется ""бомба"". Конспект должен быть замаскирован!"
1003,"Щас я покажу, что происходит с людьми, которые углубляются в науку"
1004,"Универсальная вычислимая функция не похожа на морскую свинку! Морская свинка ни к морю, ни к свиньям не относится, а универсальная вычислимая функция и вычислима, и универсальна!"
1005,Это признак полного обсоса #препод_mip
1006,"Возможно, в пересдачах моих студентов есть и моя вина. Я отношусь к ним добрее, чем экзаменаторы. Хотя экзаменаторы тоже не страшные, да и вопросы у них не сложные.  #Черняев_mip"
1007,"Ну, собственно, всё прекрасно развалилось."
1008,
1009,"Может он не хотел, чтобы о нём читали лекции в Долгопрудном."
1010,[Вводя исчисление предикатов с равенством]
1011,"Ребята вы хорошие, чисто по-человечески вы мне нравитесь, но дела у вас плохи"
1012,Запах кофе мешает сосредоточиться на работе
1013,[Вводит правила написания формул без скобочек.]
1014,К третьему курсу надо трезво оценивать свои способности к дифференцированию.  Не умеете дифференцировать - не дифференцируйте!
1015,"И это тот редкий случай, когда вас в школе не обманули"
1016,"Ку-ку, Роман!"
1017,"Результат зависит от специалистов по мат анализу, но их заставить что-либо делать - бесполезная трата времени"
1018,"Тригонометрия! Великая штука, сынок!"
1019,"Здесь понимаете, здесь такая ситуация, что здесь 3 сосны и в них можно заблудиться"
1020,"Я решаю как человек с улицы: надо доказывать, а я не буду"
1021,"Вчера смотрел свой семинар на YouTube. И вы знаете, а ведь прекрасный семинар!"
1022,Я люблю шутки про армию. #Тюленев_mip
1023,"Эта теория основана братьями Лондонами, как следует из фамилии, немецкими физиками. #Глазков_mip"
1024,Хакни систему и выиграй 100 000 рублей на хакатоне OVision Hack!
1025,"Все вы пользовались интернет браузерами: Firefox, internet explorer, не дай Бог Microsoft Edge #храмцов_mip"
1026,Интеграл по путю. #Ильин_mipt А.С
1027,"Надо достигнуть глубокого непонимания, а не поверхностного понимания. #Ахмедов_mip"
1028,"Я года 3 назад демонстрировал решение этой задачи. Бесполезно, оно уничтожает человека"
1029,"Так-так, не уходим в асимптотическую устойчивость, держим себя в руках! #Монахова_mip"
1030,Вода - не лёд!
1031,Теперь нам надо понять - это одно и то же или то же самое.
1032,"Ну, всем нам пьяного сварщика представить легче, чем тензор инерции"
1033,"...обобщённый я на следующей лекции расскажу. Готовьтесь, будет скучно"
1034,"""Вот сгусток энергии, вот ещё сгусток энергии и они движутся. Вот, в чем весь смысл"" (с) Станислав Владиленович #Виноградов_mip"
1035,"Сложно? Ну вы не отчаивайтесь, сейчас будет ещё хуже.    #Тюленев_mip"
1036,"Первый раз слышу про такую стрелку, товарищи. Я очень темен, я виноват. Сер, как стадо мышей. "
1037,Зацените красоту!
1038,А вы думали честность это легко? Нет. #Самарова_mipt С.С
1039,"Это как в анекдоте. Есть такие две игры - го и но. И есть два племени - тоже Го и Но. И вот племя Но любит играть в го, а Го - в но."
1040,"Переменную интегрирования можно обозначать любой буквой: x, y, z, ъ..."
1041,"Тинькофф приглашает на летние стажировки    Направлений будет много: аналитика, разработка (Java, Scala, Python, .net и другие, frontend), SRE, QA, маркетинг. Ждем студентов, магистрантов и выпускников, готовых посвятить оплачиваемой стажировке 40 часов в неделю.  Чтобы принять участие, оставьте заявку на сайте не позднее 21 марта, заполните анкету и решите отборочные испытания. Успешных кандидатов позовем на интервью. Вам понадобится эта ссылка: https://vk.tinkoff.ru/start-summer-2"
1042,"Как мы определяем число 0? Ноль - это число людей, побывавших на Солнце #Черняев_mip"
1043,"Без ноутбука ходят только люди, уверенные в себе. Или забывшие дома ноутбук. #Скобеева_mip"
1044,"«Поэтому ваше утверждение ""ха-ха"" »"
1045,"""Хорошо смеётся тот, кто смеётся после контрольной работы"""
1046,"Вы не просто плюшку не получите, вы плюху получите"
1047,"С: Извините, а вы не могли бы писать погромче? П: Говорить побольше не надо?"
1048,"М: Иду по городу вечером, вижу как человек со своей собакой разговаривает. Думаю, нууу чудной, что-то ей объясняет там... Возвращаюсь домой, рассказываю своему коту. Мы с ним потом очень долго смеялись...  #Колдунов_mip"
1049,Когда-то у меня была пиратская математика в компьютере…
1050,"Сами думайте, я не хочу больше, мои мозги устали"
1051,"И это тот тупичок, в который я обещал вас завести, как Иван Сусанин"
1052,Я же говорю вам следить за мной. Я сегодня не в адеквате...
1053,
1054,Интеграл не сразу стал интегралом Лебега. У математиков не принято какую-то новую структуру сразу своим именем называть. Это не по-пацански. #Tulenev_mip
1055,Будем обозначать её H от слова энтальпия.
1056,"Разбираешься в Blockchain, Python и Data Science? Тогда регистрируйся на хакатон «ТИМ ФОРС Альянс» с призовым фондом 500 000 рублей!"
1057,В общем обычная… советская матрица перехода. #Кожевников_mip
1058,"Вот фотон, кстати, яркий пример бозона"
1059,"С: Какой приятный семинар, всё понятно...  П:Когда я проходил эту тему, даже духом воспрял... Но я был не прав.  #Здор_mip"
1060,Мы это сделаем подробно в прошлый раз #Караваева_mip
1061,"Давайте я вам буду помогать, потому что я вытащил вас к доске, но это не должно стать экзекуцией"
1062,"После того, как мы совершим этот подвиг - мы войдём в элитный клуб лапласианистов"
1063,"Как говорит русская пословица, не родись красивой, а родись дифференцируемой"
1064,"Поговорим о СЛОУ. Их иногда еще называют ""ОСЛУ"", но это как-то трудновыговариваемо, поэтому будем говорить ""СЛОУ"". Правда, может показаться, что это что-то медленное..."
1065,"... введём репер, ну, не в смысле Хаски или Оксимирон, а в смысле реперную точку."
1066,"Я не смеюсь, у меня истерика"
1067,"Если меня не остановят, то я весь Физтех научу так рисовать #Шаньков_mip"
1068,Ну мы открыли дверь. Посмотрели сколько там всего интересного. 
1069,"Полный сексизм: семинар пропадает благодаря прекрасным дамам, а лекция - благодаря защитникам Отечества"
1070,"С: Вы что, джедай? А: Я Колдунов."
1071,В эти выходные пройдет хакатон Definition!
1072,"Аксиоматизация имеет множество преимуществ, сходных с преимуществами воровства перед честным трудом. #Булыгин_mip"
1073,"[На семинаре.] [Очень серьёзным тоном.] - ... так что кто был на лекции - тот молодец, а кто не был... тот не молодец. #Дашков_mip"
1074,"Так, подождите, я задумался... *ждём* А, всё, перестал задумываться #Пашинский_mip"
1075,"Инновационный Технологический Центр МОЛНЕТ с 25 по 27 февраля 2022 года проводит онлайн-хакатон «TV Neuro Technologies», в рамках которого участникам предстоит решить одну из четырех задач на выбор с применением SQL, JAVA и нейросетевых технологий:  • Математическое моделирование и прогнозирование развития сложных систем  • Визуализации структуры состояний системы  • Программирование базы данных  • Нейросетевые технологии для классификации данных    Хакатон направлен на поиск специалистов и инновационных решений в областях анализа данных и машинного обучения. Мы ждем математиков, системных и прикладных программистов, разработчиков ПО, специалистов в data-science и аналитиков.    Участники поборются за призовой фонд в размере 400 тысяч рублей, возможность попасть на стажировку или войти в штат сотрудников ИТЦ МОЛНЕТ для реализации своих проектов.    Хакатон приурочен к вступлению НИИ Социальных систем при МГУ и Инновационного Технологического Центра МОЛНЕТ в круг участников Инновационного научно-технологического центра МГУ «Воробьевы горы».  Прием заявок на хакатон открыт до 23 февраля 2022 года.    Подробности и регистрация: https://bit.ly/3squrT"
